License_Number,Hospital_Name,Year,City,FICA,State_Unemployment_Compensation,Worker_s_Compensation,Group_Health_Insurance,Group_Life_Insurance,Pension___Retirement,Other_Employee_Benefits,Total_Employee_Benefits,Building_Rent_Lease,Equipment_Rent_Lease,Total_Rent_Lease,Fixed_Assets_Depreciation_Expense_Beginning_Balance_Land,Fixed_Assets_Additions_Land,Fixed_Assets_Retirememts_Land,Fixed_Assets_Ending_Balance_Land,Fixed_Assets_Beginning_Balance_Land_Improvements,Fixed_Assets_Additions_Land_Improvements,Fixed_Assets_Retirememts_Land_Improvements,Fixed_Assets_Ending_Balance_Land_Improvements,Fixed_Assets_Beginning_Balance_Buildings,Fixed_Assets_Additions_Buildings,Fixed_Assets_Retirememts_Buildings,Fixed_Assets_Ending_Balance_Buildings,Fixed_Assets_Beginning_Balance_Fixed_Equip_Building_Service,Fixed_Assets_Additions_Fixed_Equipment_Building_Service,Fixed_Assets_Retirememts_Fixed_Equipment_Building_Service,Fixed_Assets_Ending_Balance_Fixed_Equip_Building_Services,Fixed_Assets_Beginning_Balance_Fixed_Equipment_Other,Fixed_Assets_Additions_Fixed_Equipment_Other,Fixed_Assets_Retirememts_Fixed_Equipment_Other,Fixed_Assets_Ending_Balance_Fixed_Equipment_Other,Fixed_Assets_Beginning_Balance_Equipment_Major_Moveable,Fixed_Assets_Additions_Equipment_Major_Moveable,Fixed_Assets_Retirememts_Equipment_Major_Moveable,Fixed_Assets_Ending_Balance_Equipment_Major_Moveable,Fixed_Assets_Beginning_Balance_Equipment_Minor_Moveable,Fixed_Assets_Additions_Equipment_Minor_Moveable,Fixed_Assets_Retirememts_Equipment_Minor_Moveable,Fixed_Assets_Ending_Balance_Equipment_Minor_Moveable,Fixed_Assets_Beginning_Balance_Leasehold_Improvements,Fixed_Assets_Additions_Leasehold_Improvements,Fixed_Assets_Retirememts_Leasehold_Improvements,Fixed_Assets_Ending_Balance_Leasehold_Improvements,Fixed_Assets_Beginning_Balance_Construction_in_Progress,Fixed_Assets_Additions_Construction_in_Progress,Fixed_Assets_Retirememts_Construction_in_Progress,Fixed_Assets_Ending_Balance_Construction_in_Progress,Fixed_Assets_Total_Beginning_Balance,Fixed_Assets_Total_Additions,Fixed_Assets_Total_Retirememts,Fixed_Assets_Total_Ending_Balance,Accumulated_Depreciation_Beginning_Balance_Land,Accumulated_Depreciation_Provision_Land,Accumulated_Depreciation_Retirements_Land,Accumulated_Depreciation_Ending_Balance_Land,Accumulated_Depreciation_Beginning_Balance_Land_Improvements,Accumulated_Depreciation_Provision_Land_Improvements,Accumulated_Depreciation_Retirements_Land_Improvements,Accumulated_Depreciation_Ending_Balance_Land_Improvements,Accumulated_Depreciation_Beginning_Balance_Buildings,Accumulated_Depreciation_Provision_Buildings,Accumulated_Depreciation_Retirements_Buildings,Accumulated_Depreciation_Ending_Balance_Buildings,Accumulated_Depreciation_Beginning_Balance_Fixed_Equip_Building_Services,Accumulated_Depreciation_Provision_Fixed_Equip_Building_Services,Accumulated_Depreciation_Retirements_Fixed_Equip_Building_Services,Accumulated_Depreciation_Ending_Balance_Fixed_Equipment_Building_Services,Accumulated_Depreciation_Beginning_Balance_Fixed_Equip_Other,Accumulated_Depreciation_Provision_Fixed_Equip_Other,Accumulated_Depreciation_Retirements_Fixed_Equip_Other,Accumulated_Depreciation_Ending_Balance_Fixed_Equipment_Other,Accumulated_Depreciation_Beginning_Balance_Equipment_Major_Moveable,Accumulated_Depreciation_Provision_Equipment_Major_Moveable,Accumulated_Depreciation_Retirements_Equipment_Major_Moveable,Accumulated_Depreciation_Ending_Balance_Equipment_Major_Moveable,Accumulated_Depreciation_Beginning_Balance_Equipment_Minor_Moveable,Accumulated_Depreciation_Provision_Equipment_Minor_Moveable,Accumulated_Depreciation_Retirements_Equipment_Minor_Moveable,Accumulated_Depreciation_Ending_Balance_Equipment_Minor_Moveable,Accumulated_Depreciation_Beginning_Balance_Leasehold_Improvements,Accumulated_Depreciation_Provision_Leasehold_Improvements,Accumulated_Depreciation_Retirements_Leasehold_Improvements,Accumulated_Depreciation_Ending_Balance_Leasehold_Improvements,Accumulated_Depreciation_Beginning_Balance_Construction_in_Progress,Accumulated_Depreciation_Provision_Construction_in_Progress,Accumulated_Depreciation_Retirements_Construction_in_Progress,Accumulated_Depreciation_Ending_Balance_Construction_in_Progress,Accumulated_Depreciation_Total_Beginning_Balance,Accumulated_Depreciation_Total_Provision,Accumulated_Depreciation_Total_Retirements,Total_Ending_Balance,Total_Insurance_Malpractice,Total_Insurance_Other,Total_Insurance,License_Fees,Taxes_Other_than_Income,Other_Licenses___Taxes,Total_Licenses___Taxes,Total_Interest_Working_Cap,Total_Interest_Other,Total_Interest_Expense,Provision_for_Bad_Debt,Medicare_Contractuals_,Medicaid_Contractuals,Workers_Comp_,Other_Government_Programs,Negotiated_Rate_,Other_Contractuals,Total_Contractual_Adjustments,Number_of_Charity_Care_Patients_,Total_Charity_Care,Other_Deductions,Total_Deductions_from_Revenue
1,Swedish Health Services DBA Swedish Medical Cent,2017,Seattle,27331025,0,4,79,0,-505,3622034,30952637,35510964,2722865,38233829,130990502,0,0,130990502,1105316,0,0,1105316,237532448,8322897,979936,246835281,0,0,0,0,10584443,314502,0,10898945,186655061,5049441,744056,192448558,286780,0,0,286780,19904588,0,0,19904588,95482595,31481327,3499999,130463921,682541733,45168167,5223991,732933891,0,0,0,0,592812,180031,0,772843,65801433,13991037,515938,80308408,0,0,0,0,2466655,875735,0,3342390,111500216,19932611,550078,131982905,184278,69725,0,254003,8797420,1447132,0,10244552,0,0,0,0,189342814,189342814,189342814,568028442,0,602,602,1600952,36150411,0,37751363,600000,19835979,20435979,17647490,1209750012,501416396,119640,-408300,1029006211,102965983,2842849942,1222,31461621,0,2891959053
3,Swedish Health Services DBA Swedish Medical Cente,2017,Seattle,8893359,0,4,0,0,0,238104,9131467,5594841,890953,6485794,37000000,0,0,37000000,0,0,0,0,141607540,4326037,0,145933577,0,0,0,0,5433661,0,0,5433661,98224779,2540967,0,100765746,525163,0,0,525163,8368987,0,0,8368987,1834010,1831412,0,3665422,292994140,8698416,0,301692556,0,0,0,0,0,0,0,0,44567911,10500650,0,55068561,0,0,0,0,2059948,352239,0,2412187,56113266,10569796,-78733,66604329,468076,45538,0,513614,6063262,687983,0,6751245,0,0,0,0,109272463,109272463,109272463,327817389,0,0,0,177962,12730766,0,12908728,0,3040406,3040406,5668482,723428513,172655813,-1190,-271062,325959666,49903724,1271675464,505,19349851,0,1296693797
8,Klickitat County Public Hospital District #1,2017,Goldendale,821511,64060,-21519,1506892,17155,246303,13935,2648337,0,395048,395048,203706,0,0,203706,1660085,71868,0,1731953,12554431,730941,0,13285372,5192815,744031,0,5936846,224471,6272,0,230743,6058116,511272,0,6569388,0,0,0,0,0,0,0,0,87181,2212035,1940222,4239438,25980805,4276419,1940222,32197446,0,0,0,0,1029564,101757,0,1131321,6628401,351208,0,6979609,3363471,275492,0,3638963,213646,5129,0,218775,4935457,427298,0,5362755,0,0,0,0,0,0,0,0,0,0,0,0,16170539,16170539,16170539,48511617,115945,45463,161408,0,0,0,0,0,279526,279526,1595987,11137813,6512326,5306,0,0,7671235,25326680,0,283395,220933,27426995
10,Virginia Mason Medical Center,2017,Seattle,29937563,329559,1848117,39196894,372288,25590724,10900680,108175825,9328146,6368674,15696820,40817678,35241,0,40852919,2992645,34400,0,3027045,610167962,4216379,0,614384341,41585806,544826,0,42130632,3797270,0,0,3797270,334690240,9105493,0,343795733,15384873,1400080,0,16784953,22899127,165962,0,23065089,9334910,8150624,0,17485534,1081670511,23653005,0,1105323516,0,0,0,0,926357,111536,0,1037893,193750807,18468157,0,212218964,34803934,1009196,0,35813130,3797270,0,0,3797270,253830464,17825225,0,271655689,13335691,1455897,0,14791588,14131510,1066504,0,15198014,0,0,0,0,514576033,514576033,514576033,1543728099,5383573,1915787,7299360,649219,24572072,0,25221291,19344354,0,19344354,12634266,705724517,100118887,9625209,15517867,322917730,0,1153904210,5725,18954520,59103109,1244596105
14,Seattle Children's Hospital,2017,Seattle,37151716,400000,1935081,69025865,0,26275415,5450777,140238854,12726316,1522061,14248377,203548113,14751900,0,218300013,14690688,598,0,14691286,871209965,72095492,1033220,944338677,0,0,0,0,33437240,1273585,11525,34722350,438752284,58543546,39219669,536515499,0,0,0,0,31007849,342422,494921,31845192,83170537,147717672,129637202,360525411,1675816676,294725215,170396537,2140938428,0,0,0,0,5932037,831875,0,6763912,308887024,33895260,990575,343772859,0,0,0,0,21636917,1417952,11525,23066394,305193774,43769956,38707463,387671193,0,0,0,0,13115908,2302117,494921,15912946,0,0,0,0,654765660,654765660,654765660,1964296980,726937,5612459,6339396,0,37843947,0,37843947,0,25062469,25062469,1168341,25845458,784209317,0,70742973,234253245,0,1115050993,19709,23248291,9814707,1149282332
20,Kaiser Permanente Central Hospital,2017,Seattle,0,0,0,0,0,0,7222034,7222034,0,4741,4741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20278365,486782,15163265,35928412,95208,0,79708,174916,0,0,0,0,0,0,0,0,20373573,486782,15242973,36103328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14953919,22477,13482655,28459051,80557,6263,80557,167377,0,0,0,0,0,0,0,0,15034476,15034476,15034476,45103428,0,0,0,6900,0,0,6900,0,0,0,684685,0,0,0,0,0,0,0,497,194784,0,879469
21,Newport Hospital & Health Services,2017,Newport,1195470,11068,405126,2195033,24522,620133,89142,4540494,11829,122120,133949,850502,0,89130,939632,1065066,0,0,1065066,15017387,130799,0,15148186,0,0,0,0,2353304,39716,0,2393020,9034630,1311530,1497163,11843323,0,0,0,0,101511,0,0,101511,71681,22602,0,94283,28494081,1504647,1586293,31585021,0,0,0,0,337014,99787,0,436801,9078082,650138,0,9728220,0,0,0,0,532155,131767,0,663922,6678534,637976,911721,8228231,0,0,0,0,101511,0,0,101511,0,0,0,0,16727296,16727296,16727296,50181888,189736,46973,236709,37883,86343,1889,126115,0,141912,141912,889761,7036350,4636097,313606,0,0,4911088,16897141,568,489602,40639,18317143
22,Lourdes Medical Center,2017,Pasco,2309554,0,348766,-931944,0,1917586,9498869,13142831,1078075,1011932,2090007,1005712,0,0,1005712,569843,0,0,569843,14985635,55946,0,15041581,1806473,1888275,0,3694748,6611896,0,112812,6724708,2454659,293919,0,2748578,0,0,0,0,906906,0,0,906906,992538,2936758,2366716,6296012,29333662,5174898,2479528,36988088,0,0,0,0,382027,43604,0,425631,5898132,916084,0,6814216,180346,298286,0,478632,4781355,523025,76497,5380877,298219,507923,0,806142,0,0,0,0,610465,94800,0,705265,0,0,0,0,12150544,12150544,12150544,36451632,536339,39419,575758,69797,61934,0,131731,0,405274,405274,5562296,73931256,39445014,0,0,47112267,0,160488537,1934,3552486,3768714,173372033
23,Three Rivers Hospital,2017,Brewster,490859,24432,5362,540480,8466,162582,2390,1234571,0,191226,191226,10750,0,0,10750,272450,0,0,272450,3703130,0,358,3703488,0,0,0,0,1432191,0,796,1432987,5446351,36997,94162,5577510,0,0,0,0,0,0,0,0,8623,322910,0,331533,10873495,359907,95316,11328718,0,0,0,0,272289,161,0,272450,3066590,97978,358,3164926,0,0,0,0,1347894,10365,796,1359055,4061544,294573,94162,4450279,0,0,0,0,0,0,0,0,0,0,0,0,8748317,8748317,8748317,26244951,74267,30590,104857,66291,0,0,66291,0,75969,75969,869846,3649525,4468921,1012128,0,0,1471211,10601785,800,1054291,53926,12579848
26,PeaceHealth St John Medical Center,2017,Longview,7189119,277537,671804,12513510,52780,6586697,765016,28056463,207876,677625,885501,3531052,0,0,3531052,2631833,73272,0,2705105,164110917,1290170,0,165401087,15152016,2364404,54140,17570560,0,0,0,0,63774603,2608710,1695544,68078857,0,0,0,0,233639,0,0,233639,2591553,-2129454,0,462099,252025613,4207102,1749684,257982399,0,0,0,0,1955846,68104,0,2023950,93723657,5387640,0,99111297,8095704,751079,54140,8900923,0,0,0,0,48812077,4688134,1695544,55195755,0,0,0,0,198838,6812,0,205650,0,0,0,0,152786122,152786122,152786122,458358366,1735880,581256,2317136,249382,6664322,0,6913704,0,709595,709595,7568223,255085291,146040383,0,12415372,31834206,0,445375252,5211,5831845,7534388,466309708
